sizing,scope,universe,symbol,timeframe,segment,scenario,leverage,total_return,win_rate,max_drawdown,num_trades,fill_rate,mean_r,sharpe,peak_concurrency,max_open_notional_ratio,max_concurrent_risk_ratio,clamped_entries,skipped_notional,liquidations
risk_pct,pooled,multi_tf,ALL,ALL,is,single,1.0,1.806069225069833,0.5307855626326964,0.11359470489932057,942,0.4982968369829684,0.3257173219978746,21.702331120139853,1,1.0000000000000002,0.010000000000000002,570.0,0.0,0.0
risk_pct,pooled,multi_tf,ALL,ALL,is,lev_1,1.0,2.437250584887622,0.5138291333743086,0.1935316781663045,1627,0.4982968369829684,0.2838253382533825,16.96895708131845,6,1.0000000000000002,0.052392039541456346,1158.0,801.0,0.0
risk_pct,pooled,multi_tf,ALL,ALL,is,lev_2,2.0,6.270803196367768,0.5104859335038363,0.22673192715739757,1955,0.4982968369829684,0.2755885363357216,18.387490774458175,7,2.0000000000000004,0.06783949448283667,775.0,373.0,0.0
risk_pct,pooled,multi_tf,ALL,ALL,is,lev_3,3.0,7.635332577132768,0.5080875356803045,0.28153124036947025,2102,0.4982968369829684,0.2696335078534031,17.339999501256877,8,3.0000000000000004,0.07970411699760437,396.0,171.0,0.0
risk_pct,pooled,multi_tf,ALL,ALL,is,peak_N,11.0,7.827494798289079,0.5063063063063064,0.30819921701784414,2220,0.4982968369829684,0.265209553853087,15.928098095655038,11,10.74126781015612,0.11005125488760562,0.0,0.0,0.0
risk_pct,pooled,multi_tf,ALL,ALL,oos,single,1.0,0.3608803729752024,0.5,0.14888300429833354,498,0.5038856077090457,0.25,12.857459439249912,1,1.0000000000000002,0.010000000000000002,320.0,0.0,0.0
risk_pct,pooled,multi_tf,ALL,ALL,oos,lev_1,1.0,0.5194898244398674,0.5101265822784811,0.20971511774249907,790,0.5038856077090457,0.27531645569620256,12.447096744756966,5,1.0000000000000002,0.04299488001442358,583.0,477.0,0.0
risk_pct,pooled,multi_tf,ALL,ALL,oos,lev_2,2.0,1.1367279089827436,0.5130344108446299,0.2914453769875492,959,0.5038856077090457,0.28258602711157454,14.861518617887748,8,2.0000000000000004,0.07513081803371888,419.0,232.0,0.0
risk_pct,pooled,multi_tf,ALL,ALL,oos,lev_3,3.0,1.9679318393998293,0.5123574144486692,0.3125355787790844,1052,0.5038856077090457,0.280893536121673,17.7158677606719,10,3.000000000000001,0.10409872121109302,256.0,107.0,0.0
risk_pct,pooled,multi_tf,ALL,ALL,oos,peak_N,11.0,1.7059959515689551,0.5044091710758377,0.35502031797014877,1134,0.5038856077090457,0.26102292768959434,14.362797462350704,12,9.07356681690323,0.12000000000000002,0.0,0.0,0.0
fixed_f1_lev5,series,15m,BTC/USDT:USDT,15m,is,single,5.0,0.37439636780201674,0.5260663507109005,0.12743997905170207,422,0.49278091650973005,0.31516587677725116,14.031263747383715,1,,,,,
fixed_f1_lev5,series,15m,BTC/USDT:USDT,15m,is,lev_5,5.0,0.28500318430410154,0.5184381778741866,0.23567731615494736,461,0.49278091650973005,0.2960954446854664,9.874242556714414,5,5.0,0.09755936053939043,0.0,1.0,0.0
fixed_f1_lev5,series,15m,BTC/USDT:USDT,15m,oos,single,5.0,0.059199797280358325,0.48372093023255813,0.1494770366983146,215,0.5153452685421995,0.20930232558139536,5.867713080416798,1,,,,,
fixed_f1_lev5,series,15m,BTC/USDT:USDT,15m,oos,lev_5,5.0,0.11680369874604876,0.48497854077253216,0.17879868775436042,233,0.5153452685421995,0.21244635193133046,9.430535973286672,3,3.0,0.04621925184969173,0.0,0.0,0.0
fixed_f1_lev5,series,1h,BTC/USDT:USDT,1h,is,single,5.0,-0.04082042756915526,0.48854961832061067,0.16696250489051748,131,0.504424778761062,0.22137404580152673,-1.0986717292376258,1,,,,,
fixed_f1_lev5,series,1h,BTC/USDT:USDT,1h,is,lev_5,5.0,-0.08276508779679935,0.48201438848920863,0.22885286347996084,139,0.504424778761062,0.20503597122302158,-2.8106127935458645,3,3.0,0.06590419592662625,0.0,0.0,0.0
fixed_f1_lev5,series,1h,BTC/USDT:USDT,1h,oos,single,5.0,0.06554105685461017,0.4864864864864865,0.08994214307374973,74,0.45652173913043476,0.21621621621621623,5.205141543138154,1,,,,,
fixed_f1_lev5,series,1h,BTC/USDT:USDT,1h,oos,lev_5,5.0,-0.028835251289448388,0.4625,0.16241389853922442,80,0.45652173913043476,0.15625,-0.9160471370483447,3,3.0,0.058141802394379175,0.0,0.0,0.0
fixed_f1_lev5,series,4h,BTC/USDT:USDT,4h,is,single,5.0,0.17328086379255983,0.5161290322580645,0.12774817081643391,31,0.44155844155844154,0.2903225806451613,7.974749068600632,1,,,,,
fixed_f1_lev5,series,4h,BTC/USDT:USDT,4h,is,lev_5,5.0,0.17328086379255983,0.5161290322580645,0.12774817081643391,31,0.44155844155844154,0.2903225806451613,7.974749068600632,1,1.0,0.0610033732855475,0.0,0.0,0.0
fixed_f1_lev5,series,4h,BTC/USDT:USDT,4h,oos,single,5.0,-0.10069553282944198,0.3333333333333333,0.11627941765983561,15,0.6341463414634146,-0.16666666666666666,-7.668194130165888,1,,,,,
