timeframe,segment,feature,quantile,quantile_rank,axis_min,axis_max,n,death_rate,ambiguous_rate,winner_rate,mean_r
1h,is,trend_dev,Q2,2,-0.03213089659794399,0.0032337676011517935,482,0.1037344398340249,0.31742738589211617,0.578838174273859,0.4470954356846473
1h,is,trend_dev,Q3,3,0.003330601340781447,0.27747119057889713,483,0.09523809523809523,0.28778467908902694,0.6169772256728778,0.5424430641821946
1h,is,volume_pctl,Q1,1,0.0,0.39357429718875503,483,0.12008281573498965,0.2857142857142857,0.5942028985507246,0.4855072463768116
1h,is,volume_pctl,Q2,2,0.3938053097345133,0.7132616487455197,482,0.0912863070539419,0.2800829875518672,0.6286307053941909,0.5715767634854771
1h,is,volume_pctl,Q3,3,0.7136929460580913,1.0,483,0.10351966873706005,0.2712215320910973,0.6252587991718427,0.5631469979296067
1h,is,vol_balance,Q1,1,0.00557840443256009,0.22249491729754933,483,0.08695652173913043,0.2836438923395445,0.629399585921325,0.5734989648033126
1h,is,vol_balance,Q2,2,0.22254426841803682,0.3573171341280936,482,0.12448132780082988,0.2717842323651452,0.6037344398340249,0.5093360995850622
1h,is,vol_balance,Q3,3,0.3582711985929266,0.9777388315104428,483,0.10351966873706005,0.2815734989648033,0.6149068322981367,0.5372670807453416
1h,is,rsi_slope_5_3,Q1,1,-21.154380801475938,-5.066478962136259,483,0.09109730848861283,0.2857142857142857,0.6231884057971014,0.5579710144927537
1h,is,rsi_slope_5_3,Q2,2,-5.063459970634291,-1.2502932304081469,482,0.12448132780082988,0.2717842323651452,0.6037344398340249,0.5093360995850622
1h,is,rsi_slope_5_3,Q3,3,-1.2461683147610145,9.811046636034355,483,0.09937888198757763,0.2795031055900621,0.6211180124223602,0.5527950310559007
1h,is,rsi_slope_10_5,Q1,1,-18.425013874961692,-5.067470712728223,483,0.10144927536231885,0.2939958592132505,0.6045548654244306,0.5113871635610766
1h,is,rsi_slope_10_5,Q2,2,-5.066894930452712,-0.9817401414872435,482,0.10580912863070539,0.3070539419087137,0.5871369294605809,0.4678423236514523
1h,is,rsi_slope_10_5,Q3,3,-0.9749073894609879,10.379365910829435,483,0.10766045548654245,0.2360248447204969,0.6563146997929606,0.6407867494824017
1h,is,rsi_slope_14_5,Q1,1,-15.636997350878843,-4.063040513598992,483,0.10144927536231885,0.2691511387163561,0.629399585921325,0.5734989648033126
1h,is,rsi_slope_14_5,Q2,2,-4.0602168760579005,-0.759221233518069,482,0.0995850622406639,0.32987551867219916,0.5705394190871369,0.4263485477178423
1h,is,rsi_slope_14_5,Q3,3,-0.7554339163502135,8.028840267560824,483,0.11387163561076605,0.23809523809523808,0.6480331262939959,0.6200828157349897
1h,is,zone_width_atr,Q1,1,0.09541181439591237,0.8188925832230853,483,0.039337474120082816,0.2070393374741201,0.7536231884057971,0.8840579710144928
1h,is,zone_width_atr,Q2,2,0.8196400747437949,1.0654285413820321,482,0.12863070539419086,0.31742738589211617,0.553941908713693,0.3848547717842324
1h,is,zone_width_atr,Q3,3,1.065505938487731,1.279949819555948,483,0.14699792960662525,0.31262939958592134,0.5403726708074534,0.35093167701863354
1h,is,freshness_bars,Q1,1,1.0,30.0,487,0.11704312114989733,0.33675564681724846,0.5462012320328542,0.3655030800821355
