lens,symbol,timeframe,segment,num_candidates,num_trades,win_rate,total_return,max_drawdown,engine_total_return,engine_num_trades
pen_5bp,DOGE/USDT:USDT,1h,full,275,223,0.5964125560538116,1.2035962849195796,0.04868357314609612,,
pen_5bp,DOGE/USDT:USDT,1h,oos_warm,103,85,0.5058823529411764,0.09497862937756545,0.04799870649415473,,
pen_5bp,DOGE/USDT:USDT,2h,full,132,108,0.5833333333333334,0.38151879744819217,0.08370300189439873,,
pen_5bp,DOGE/USDT:USDT,2h,oos_warm,55,44,0.4772727272727273,0.02114761066668525,0.08370300189439861,,
pen_5bp,DOGE/USDT:USDT,4h,full,82,62,0.5806451612903226,0.25079899609645545,0.04283028776199397,,
pen_5bp,DOGE/USDT:USDT,4h,oos_warm,32,21,0.5714285714285714,0.06664086545943428,0.026503766348824783,,
pen_5bp,DOT/USDT:USDT,15m,full,1403,995,0.5547738693467337,3.1232514806524634,0.09473340347624391,,
pen_5bp,DOT/USDT:USDT,15m,oos_warm,499,351,0.5384615384615384,0.3126162708072416,0.08302447539564985,,
pen_5bp,DOT/USDT:USDT,1h,full,293,225,0.5822222222222222,1.0082049126701749,0.04983985841430004,,
pen_5bp,DOT/USDT:USDT,1h,oos_warm,111,83,0.5180722891566265,0.13554375314073258,0.04764458311198248,,
pen_5bp,DOT/USDT:USDT,2h,full,135,111,0.5945945945945946,0.5319389549313127,0.05230651367718869,,
pen_5bp,DOT/USDT:USDT,2h,oos_warm,38,30,0.5,0.04327023380685223,0.0424204523009661,,
pen_5bp,DOT/USDT:USDT,4h,full,78,64,0.53125,0.17716201749819738,0.04080327012214848,,
pen_5bp,DOT/USDT:USDT,4h,oos_warm,25,22,0.4090909090909091,-0.013467467440763176,0.04080327012214838,,
pen_5bp,ETC/USDT:USDT,15m,full,1210,872,0.5928899082568807,4.503924462401462,0.06179586180865458,,
pen_5bp,ETC/USDT:USDT,15m,oos_warm,428,293,0.5563139931740614,0.23497270062469816,0.06179586180865454,,
pen_5bp,ETC/USDT:USDT,1h,full,285,229,0.611353711790393,1.3216918580610688,0.08539980095981056,,
pen_5bp,ETC/USDT:USDT,1h,oos_warm,87,68,0.5441176470588235,0.12482743890187321,0.05283451887076946,,
pen_5bp,ETC/USDT:USDT,2h,full,155,122,0.6147540983606558,0.7355847353999365,0.056605431039160506,,
