symbol,timeframe,segment,lens,tp_rule,r_multiple,eligible,filled,num_trades,fill_rate,total_return,max_drawdown,win_rate,sharpe,mean_gross_r,n_take_profit,n_stop_loss,n_end_of_data
DOGE/USDT:USDT,4h,full,pen_5bp,entry_r,1.5,109,82,62,0.7522935779816514,0.2491593754370733,0.0430105079658106,0.5806451612903226,14.01418399854238,0.4516129032258063,36,26,0
DOGE/USDT:USDT,4h,full,pen_5bp,zone_height,1.5,109,82,62,0.7522935779816514,0.325677461374228,0.043122208330249,0.5645161290322581,15.83367885747831,0.6013925295841359,35,27,0
DOGE/USDT:USDT,4h,is,baseline,entry_r,1.5,62,50,41,0.8064516129032258,0.1722466419028503,0.0430105079658106,0.5853658536585366,14.962607297458147,0.4634146341463415,24,17,0
DOGE/USDT:USDT,4h,is,baseline,zone_height,1.5,62,50,41,0.8064516129032258,0.2020004899427391,0.043122208330249,0.5853658536585366,16.53730261982415,0.5500410178791671,24,17,0
DOGE/USDT:USDT,4h,is,pen_5bp,entry_r,1.5,62,50,41,0.8064516129032258,0.1722189985908357,0.0430105079658106,0.5853658536585366,14.95960839458705,0.4634146341463415,24,17,0
DOGE/USDT:USDT,4h,is,pen_5bp,zone_height,1.5,62,50,41,0.8064516129032258,0.2019721449909197,0.043122208330249,0.5853658536585366,16.534356578239013,0.5500410178791671,24,17,0
DOGE/USDT:USDT,4h,oos_warm,baseline,entry_r,1.5,47,32,22,0.6808510638297872,0.070477512565277,0.0268721582411359,0.5909090909090909,12.378457742693316,0.4772727272727252,13,9,0
DOGE/USDT:USDT,4h,oos_warm,baseline,zone_height,1.5,47,32,22,0.6808510638297872,0.0972480266042552,0.0305549817664203,0.5,13.292609393821312,0.6243025045986623,11,11,0
DOGE/USDT:USDT,4h,oos_warm,pen_5bp,entry_r,1.5,47,32,21,0.6808510638297872,0.065636520939116,0.026872158241136,0.5714285714285714,11.834611671541454,0.4285714285714278,12,9,0
DOGE/USDT:USDT,4h,oos_warm,pen_5bp,zone_height,1.5,47,32,21,0.6808510638297872,0.1029186216160131,0.0255448747065041,0.5238095238095238,14.461799710292336,0.7016502429128844,11,10,0
DOGE/USDT:USDT,4h,oos,baseline,entry_r,1.5,41,27,19,0.6585365853658537,0.0615387997942552,0.021329680636381,0.5789473684210527,12.302979636933015,0.4473684210526304,11,8,0
DOGE/USDT:USDT,4h,oos,baseline,zone_height,1.5,41,27,19,0.6585365853658537,0.0676571898636835,0.0305549817664203,0.4736842105263157,10.955737086294889,0.3686210756035004,9,10,0
DOGE/USDT:USDT,4h,oos,pen_5bp,entry_r,1.5,41,27,18,0.6585365853658537,0.0567382314681312,0.021329680636381,0.5555555555555556,11.687183303234518,0.3888888888888892,10,8,0
DOGE/USDT:USDT,4h,oos,pen_5bp,zone_height,1.5,41,27,18,0.6585365853658537,0.0731748589670358,0.0255448747065041,0.5,12.21054311268491,0.4446555798036948,9,9,0
LINK/USDT:USDT,4h,full,baseline,entry_r,1.5,112,66,59,0.5892857142857143,0.3141448705692433,0.0410837164176741,0.6101694915254238,18.11114601279829,0.5254237288135598,36,23,0
LINK/USDT:USDT,4h,full,baseline,zone_height,1.5,112,66,59,0.5892857142857143,0.3226461663839005,0.0379743947853344,0.5423728813559322,13.74190810138676,0.5390548184395593,32,27,0
LINK/USDT:USDT,4h,full,pen_5bp,entry_r,1.5,112,62,55,0.5535714285714286,0.2770918953525731,0.0409581742357282,0.6,17.26932476503065,0.5000000000000006,33,22,0
LINK/USDT:USDT,4h,full,pen_5bp,zone_height,1.5,112,62,55,0.5535714285714286,0.3119860191218657,0.0378703373610219,0.5454545454545454,14.076251354357828,0.5618637783275525,30,25,0
LINK/USDT:USDT,4h,is,baseline,entry_r,1.5,78,46,40,0.5897435897435898,0.1358598116848801,0.0410837164176741,0.55,12.248330139360249,0.3750000000000003,22,18,0
LINK/USDT:USDT,4h,is,baseline,zone_height,1.5,78,46,40,0.5897435897435898,0.1449081496230532,0.0379743947853344,0.475,9.20848005280113,0.3884576004289715,19,21,0
LINK/USDT:USDT,4h,is,pen_5bp,entry_r,1.5,78,43,37,0.5512820512820513,0.0922155972477659,0.0409581742357282,0.5135135135135135,9.134300528904106,0.2837837837837844,19,18,0
