symbol,timeframe,segment,direction,n_obs,retrace_rate,disp_median,retrace_rate_lo_disp,retrace_rate_hi_disp,disp_retrace_delta,median_bars_to_retrace,bars_to_retrace_lo_disp,bars_to_retrace_hi_disp,bars_to_retrace_delta,n_never,never_frac_broke,never_mfe_r_median,never_mae_r_median,never_frac_reach_tp,never_gross_r_mean,never_net_r_mean
ETH/USDT:USDT,15m,oos_warm,short,974,0.9589322381930184,0.416054364363839,0.9691991786447639,0.9486652977412731,-0.020533880903490842,29.0,25.0,36.0,11.0,40,0.0,25.709300817522795,0.39445081452895725,0.975,1.4571934569809377,1.3254995984976194
SOL/USDT:USDT,15m,full,long,2953,0.9793430409752794,0.389490609852648,0.983750846310088,0.9749322493224932,-0.008818596987594796,29.0,24.0,38.0,14.0,61,0.0,435.147465437787,0.32544378698225296,0.9836065573770492,1.484410157505625,1.4224272202577095
SOL/USDT:USDT,15m,full,short,2975,0.9838655462184874,0.3859025423075214,0.9865591397849462,0.9811701412239409,-0.005388998561005387,34.0,24.0,45.0,21.0,48,0.0,26.748640265470385,0.4209876543209871,1.0,1.5,1.3963388612543106
SOL/USDT:USDT,15m,is,long,1966,0.9720244150559512,0.40459782204076333,0.9755849440488301,0.9684638860630722,-0.007121057985757906,29.0,24.0,37.0,13.0,55,0.0,555.9619238476928,0.3287250384024576,1.0,1.5,1.439947903816921
SOL/USDT:USDT,15m,is,short,1979,1.0,0.3920842054596813,1.0,1.0,0.0,36.0,26.5,46.0,19.5,0,,,,,,
SOL/USDT:USDT,15m,oos_warm,long,987,0.993920972644377,0.3600039604699975,0.9959514170040485,0.9918864097363083,-0.004065007267740284,30.0,25.0,38.0,13.0,6,0.0,3.9249000964585696,0.3198215913763237,0.8333333333333334,1.341503267973855,1.2618209542982723
SOL/USDT:USDT,15m,oos_warm,short,996,0.9518072289156626,0.3770191829252394,0.9598393574297188,0.9437751004016064,-0.016064257028112428,31.0,20.5,42.5,22.0,48,0.0,26.748640265470385,0.4209876543209871,1.0,1.5,1.3963388612543106
BNB/USDT:USDT,15m,full,long,3062,0.9777922926192031,0.36628985908883754,0.9784454604833442,0.977139124755062,-0.0013063357282822041,28.0,23.0,35.0,12.0,68,0.0,407.2292274260863,0.3047753155957438,0.9558823529411765,1.4437529520789145,1.3344557069853042
BNB/USDT:USDT,15m,full,short,2896,0.988950276243094,0.4019620605033183,0.9917127071823204,0.9861878453038674,-0.0055248618784530246,33.0,28.0,41.5,13.5,32,0.0,15.208329002664062,0.37768769844342753,1.0,1.5,1.397056317654599
BNB/USDT:USDT,15m,is,long,2045,0.9701711491442543,0.3644503171489614,0.9706744868035191,0.9696673189823874,-0.0010071678211316382,27.0,23.0,33.0,10.0,61,0.0,463.80434782608467,0.2985915492957756,1.0,1.5,1.3922092930067922
