floor,hold,threshold,segment,num_trades,mean_net_r,se_net_r,mean_cost_r,mean_gross_r,median_stop_width
0.03,8,25.0,full,529,0.29120346234835426,0.07343374929881688,0.028530157884692143,0.3197336202330464,0.036747794104411965
0.03,8,25.0,is,461,0.3424085288106655,0.08199274640761256,0.028651466984404118,0.37105999579506965,0.036941355152724044
0.03,8,25.0,oos_warm,68,-0.05593676763878578,0.12496879192511995,0.027707753546938878,-0.028229014091846902,0.03415804595697226
0.03,12,25.0,full,529,0.3445531707428562,0.08912477327809926,0.028759610303882518,0.3733127810467387,0.036747794104411965
0.03,12,25.0,is,461,0.40172452964903366,0.10030911318060305,0.02891190395337385,0.4306364336024075,0.036941355152724044
0.03,12,25.0,oos_warm,68,-0.04303501242990591,0.12674217771489837,0.02772714894483099,-0.015307863485074916,0.03415804595697226
0.03,16,25.0,full,529,0.3759718556193647,0.09496487704773308,0.028428483625162284,0.40440033924452695,0.036747794104411965
0.03,16,25.0,is,461,0.42986722444136455,0.10678848820466026,0.02848128135762146,0.458348505798986,0.036941355152724044
0.03,16,25.0,oos_warm,68,0.010592958164336131,0.14072445261039424,0.02807054605657869,0.03866350422091482,0.03415804595697226
0.03,24,25.0,full,529,0.34102415991738405,0.09044520076736867,0.028112518757562373,0.36913667867494643,0.036747794104411965
