segment,axis,bucket,arm,category,num_trades,trade_share,net_r_sum,gain_share,loss_share,win_rate
is,timeframe,4h,C_고정오프셋,트리거 안 옴,215,0.15324305060584462,-218.78293141063168,0.007997134134080132,0.26445771896783515,0.023255813953488372
oos_warm,overall,전체,1_봉마감,트리거 전에 이미 익절,2006,0.13514788115610052,2873.2018110178246,0.3361781820800114,0.0,1.0
oos_warm,overall,전체,1_봉마감,트리거 전에 이미 손절,38,0.002560129353904197,-45.59010899061465,0.0,0.004409619454822193,0.0
oos_warm,overall,전체,1_봉마감,아직 들고 있음,5545,0.3735767701947046,1485.1735162055622,0.5088564482393501,0.2770007540334466,0.5424706943192065
oos_warm,overall,전체,1_봉마감,트리거 안 옴,7254,0.4887152192952907,-6104.907023997079,0.15496536968064414,0.7185896265117324,0.1279294182519989
oos_warm,overall,전체,2_교차,트리거 전에 이미 익절,913,0.06151047631880348,1308.1834015137447,0.15306363655407287,0.0,1.0
oos_warm,overall,전체,2_교차,트리거 전에 이미 손절,301,0.02027891935592535,-353.8070616140206,0.0,0.034221337406055305,0.0
oos_warm,overall,전체,2_교차,아직 들고 있음,8641,0.5821599407127939,1799.240826587706,0.7628350997777573,0.4565772427999245,0.5237819696794352
oos_warm,overall,전체,2_교차,트리거 안 옴,4988,0.33605066361247726,-4545.738972251732,0.08410126366817071,0.5092014197940208,0.1008420208500401
oos_warm,overall,전체,C_고정오프셋,트리거 전에 이미 익절,1676,0.11291517887219565,2363.3565123702265,0.2765238741284678,0.0,1.0
oos_warm,overall,전체,C_고정오프셋,트리거 전에 이미 손절,307,0.020683150306541803,-360.34948510869987,0.0,0.03485414128747973,0.0
oos_warm,overall,전체,C_고정오프셋,아직 들고 있음,5760,0.3880617125917941,2968.7919368622456,0.6199588590160764,0.2253444443464352,0.6307291666666667
oos_warm,overall,전체,C_고정오프셋,트리거 안 옴,7100,0.47833995822946845,-6763.920769888102,0.10351726685546099,0.7398014143660858,0.08915492957746479
oos_warm,timeframe,15m,1_봉마감,트리거 전에 이미 익절,1364,0.133712381139104,1939.8526319815198,0.3295471551571864,0.0,1.0
oos_warm,timeframe,15m,1_봉마감,트리거 전에 이미 손절,32,0.0031369473581021466,-38.782858060514876,0.0,0.005367028485264866,0.0
oos_warm,timeframe,15m,1_봉마감,아직 들고 있음,3938,0.38604058425644544,1070.0685732231057,0.5293299101590913,0.2831098252469741,0.5505332656170645
oos_warm,timeframe,15m,1_봉마감,트리거 안 옴,4867,0.4771100872463484,-4310.85168918591,0.14112293468372325,0.7115231462677583,0.12040271214300391
oos_warm,timeframe,15m,2_교차,트리거 전에 이미 익절,552,0.05411234192726203,784.481539116124,0.13326974184888113,0.0,1.0
oos_warm,timeframe,15m,2_교차,트리거 전에 이미 손절,182,0.01784138809920596,-219.74937488993424,0.0,0.030410372356084354,0.0
oos_warm,timeframe,15m,2_교차,아직 들고 있음,6199,0.6076855210273503,1232.1499731958395,0.7941620491697099,0.47641261407311386,0.5266978544926602
oos_warm,timeframe,15m,2_교차,트리거 안 옴,3268,0.3203607489461818,-3136.5954794638287,0.07256820898140941,0.4931770135707969,0.09210526315789473
oos_warm,timeframe,15m,C_고정오프셋,트리거 전에 이미 익절,1444,0.14155474953435937,2035.031959552167,0.3457164641621911,0.0,1.0
oos_warm,timeframe,15m,C_고정오프셋,트리거 전에 이미 손절,160,0.015684736790510734,-191.9363380230196,0.0,0.026561420303774702,0.0
oos_warm,timeframe,15m,C_고정오프셋,아직 들고 있음,3100,0.3038917753161455,1973.4100924312772,0.5233103019973543,0.15319586685876252,0.6845161290322581
oos_warm,timeframe,15m,C_고정오프셋,트리거 안 옴,5497,0.5388687383589844,-5156.219056002247,0.1309732338404557,0.8202427128374615,0.100418410041841
oos_warm,timeframe,1h,1_봉마감,트리거 전에 이미 익절,370,0.14025777103866566,535.9756020945002,0.3537004388740415,0.0,1.0
oos_warm,timeframe,1h,1_봉마감,트리거 전에 이미 손절,3,0.0011372251705837756,-3.4652348841111174,0.0,0.0019336579936175843,0.0
oos_warm,timeframe,1h,1_봉마감,아직 들고 있음,955,0.3620166793025019,250.84259309042343,0.48698491839433955,0.27181203592858155,0.5277486910994764
oos_warm,timeframe,1h,1_봉마감,트리거 안 옴,1310,0.4965883244882487,-1060.0772155231066,0.15931464273161705,0.7262543060778011,0.1282442748091603
oos_warm,timeframe,1h,2_교차,트리거 전에 이미 익절,187,0.07088703563305535,269.8861335406103,0.17810296496014993,0.0,1.0
oos_warm,timeframe,1h,2_교차,트리거 전에 이미 손절,74,0.028051554207733132,-84.29422938512735,0.0,0.04703756481667668,0.0
oos_warm,timeframe,1h,2_교차,아직 들고 있음,1450,0.5496588324488249,350.1540097042593,0.7317564306646929,0.42336934178164554,0.5241379310344828
oos_warm,timeframe,1h,2_교차,트리거 안 옴,927,0.35140257771038663,-812.4701690820348,0.09014060437515559,0.5295930934016781,0.10248112189859762
oos_warm,timeframe,1h,C_고정오프셋,트리거 전에 이미 익절,158,0.05989385898407885,223.47045142251594,0.14747237828483822,0.0,1.0
oos_warm,timeframe,1h,C_고정오프셋,트리거 전에 이미 손절,78,0.029567854435178165,-91.75287235496434,0.0,0.05119961012745637,0.0
oos_warm,timeframe,1h,C_고정오프셋,아직 들고 있음,1375,0.5212282031842305,646.6249670100333,0.8091300629607984,0.32335952989460504,0.6087272727272727
oos_warm,timeframe,1h,C_고정오프셋,트리거 안 옴,1027,0.3893100833965125,-1055.0668012998792,0.04339755875436246,0.6254408599779386,0.045764362220058426
oos_warm,timeframe,2h,1_봉마감,트리거 전에 이미 익절,187,0.1385185185185185,272.41358100077616,0.3495781874681966,0.0,1.0
oos_warm,timeframe,2h,1_봉마감,트리거 전에 이미 손절,3,0.0022222222222222222,-3.3420160459886636,0.0,0.0037613996180615368,0.0
oos_warm,timeframe,2h,1_봉마감,아직 들고 있음,455,0.337037037037037,98.60801211921125,0.43177221552070116,0.2677045584224672,0.5032967032967033
oos_warm,timeframe,2h,1_봉마감,트리거 안 옴,705,0.5222222222222223,-476.91922731645946,0.2186495970111026,0.7285340419594716,0.1673758865248227
oos_warm,timeframe,2h,2_교차,트리거 전에 이미 익절,117,0.08666666666666667,170.22147172216512,0.21843886539795465,0.0,1.0
oos_warm,timeframe,2h,2_교차,트리거 전에 이미 손절,33,0.024444444444444446,-36.62940838176816,0.0,0.04122596684189294,0.0
oos_warm,timeframe,2h,2_교차,아직 들고 있음,683,0.5059259259259259,143.21284163112912,0.6463897153939151,0.40573307021514066,0.5036603221083455
oos_warm,timeframe,2h,2_교차,트리거 안 옴,517,0.38296296296296295,-386.044555213987,0.13517141920813078,0.5530409629429668,0.14119922630560927
oos_warm,timeframe,2h,C_고정오프셋,트리거 전에 이미 익절,62,0.045925925925925926,87.74369210968386,0.11259820724350521,0.0,1.0
oos_warm,timeframe,2h,C_고정오프셋,트리거 전에 이미 손절,43,0.03185185185185185,-47.92626824632169,0.0,0.0539404492965264,0.0
oos_warm,timeframe,2h,C_고정오프셋,아직 들고 있음,832,0.6162962962962963,236.3211053160768,0.8330964839597522,0.4646923748029236,0.53125
oos_warm,timeframe,2h,C_고정오프셋,트리거 안 옴,413,0.30592592592592593,-385.37817942190014,0.054305308796742446,0.4813671759005507,0.07263922518159806
oos_warm,timeframe,4h,1_봉마감,트리거 전에 이미 익절,85,0.12996941896024464,124.95999594101679,0.3417539168089919,0.0,1.0
oos_warm,timeframe,4h,1_봉마감,트리거 전에 이미 손절,0,0.0,0.0,0.0,0.0,0.0
oos_warm,timeframe,4h,1_봉마감,아직 들고 있음,197,0.3012232415902141,65.6543377728226,0.4341834345153276,0.21546984599858354,0.5431472081218274
oos_warm,timeframe,4h,1_봉마감,트리거 안 옴,372,0.5688073394495413,-257.05889197159235,0.2240626486756804,0.7845301540014169,0.15053763440860216
oos_warm,timeframe,4h,2_교차,트리거 전에 이미 익절,57,0.0871559633027523,83.59425713484684,0.22862248500757645,0.0,1.0
oos_warm,timeframe,4h,2_교차,트리거 전에 이미 손절,12,0.01834862385321101,-13.134048957191116,0.0,0.030396716152216053,0.0
oos_warm,timeframe,4h,2_교차,아직 들고 있음,309,0.4724770642201835,73.72400205648283,0.635478119244245,0.3671343334974308,0.5080906148867314
oos_warm,timeframe,4h,2_교차,트리거 안 옴,276,0.42201834862385323,-210.62876849189132,0.1358993957481784,0.6024689503503537,0.12318840579710146
oos_warm,timeframe,4h,C_고정오프셋,트리거 전에 이미 익절,12,0.01834862385321101,17.11040928585598,0.046795371171477695,0.0,1.0
oos_warm,timeframe,4h,C_고정오프셋,트리거 전에 이미 손절,26,0.039755351681957186,-28.73400648439449,0.0,0.06650039465125207,0.0
oos_warm,timeframe,4h,C_고정오프셋,아직 들고 있음,453,0.6926605504587156,112.43577210485122,0.9376599413817878,0.5332555833645544,0.5121412803532008
