segment,symbol,timeframe,reason,exit_ms,is_long,stop_price,exit_price,quantity,notional,bar_high,bar_low,bar_range_bp,adverse_bp,charged_slippage_bp
full,TRX/USDT:USDT,15m,stop_loss,1601397120000,True,0.02587,0.025857065000000002,26372.143782284184,682.2473596476918,0.02597,0.02587,38.58024691358001,0.0,4.999999999999475
full,LTC/USDT:USDT,15m,stop_loss,1601385000000,True,45.29,45.267355,220.10902712832024,9968.737838641624,45.37,45.25,26.484219819023934,8.831971737690251,4.999999999999368
full,ADA/USDT:USDT,15m,stop_loss,1601385420000,True,0.09997,0.09992001500000001,95219.95810321833,9519.139211578737,0.10025,0.09969,56.016805041512946,28.008402520756473,4.999999999998851
full,DOGE/USDT:USDT,15m,stop_loss,1601568300000,True,0.002609,0.0026076955000000003,2467320.342069323,6437.238772458864,0.002614,0.002604,38.3288616328096,19.164430816405634,4.999999999999561
full,LINK/USDT:USDT,15m,stop_loss,1601396640000,True,9.566,9.561217000000001,641.255835428103,6134.253321705233,9.608,9.52,92.01171058134773,48.08697470207103,4.999999999999749
full,XRP/USDT:USDT,15m,stop_loss,1601395260000,True,0.2408,0.2406796,41355.34728877216,9958.367627136335,0.2413,0.2407,24.896265560165535,4.152823920265324,4.999999999999699
full,SOL/USDT:USDT,15m,stop_loss,1601409540000,True,2.8809,2.87945955,1222.947094082394,3523.1882833419686,2.9106,2.874,126.5428897417279,23.95084869311641,5.000000000000131
full,ADA/USDT:USDT,15m,stop_loss,1601439420000,True,0.09734,0.09729133,51024.156876831876,4966.691430390814,0.09755,0.09725,30.8008213552356,9.245942058762365,5.0000000000000675
full,LINK/USDT:USDT,15m,stop_loss,1601444760000,True,9.67,9.665165,920.6064753030915,8902.264616180895,9.691,9.633,60.028979507350044,38.26266804550239,4.99999999999992
full,ETH/USDT:USDT,15m,stop_loss,1601467200000,True,351.5,351.32425,28.220756561472967,9919.595931357748,352.79,351.02,50.297665563150254,13.655761024182596,4.999999999999819
full,SOL/USDT:USDT,15m,stop_loss,1601457060000,True,2.8981,2.89665095,3420.1694467773154,9911.993073705338,2.9019,2.895,23.8058272524967,10.696663331147581,4.999999999999067
full,BCH/USDT:USDT,15m,stop_loss,1601466240000,True,225.54,225.42723,44.13422536695312,9954.033189262605,225.6,225.37,10.20023504889415,7.537465638023742,4.999999999999264
full,LINK/USDT:USDT,15m,stop_loss,1601498400000,True,9.67,9.665165,613.2880793470798,5930.495727286262,9.701,9.66,42.35318423635181,10.341261633919117,4.99999999999992
full,BCH/USDT:USDT,15m,stop_loss,1601496000000,True,225.16,225.04742000000002,44.116264446394034,9933.218102750081,225.88,225.09,35.03558995055068,3.108900337537448,4.999999999999107
full,BNB/USDT:USDT,15m,stop_loss,1601561160000,True,28.478,28.463761,284.9181031864613,8113.897742544044,28.527,28.471,19.64981227411521,2.4580377835527245,4.999999999999961
full,SOL/USDT:USDT,15m,stop_loss,1601562480000,True,2.9096,2.9081452000000003,3412.985730839085,9930.423282449403,2.9155,2.8943,72.98013700988099,52.58454770415285,4.9999999999995435
full,BNB/USDT:USDT,15m,stop_loss,1601567460000,True,27.78,27.76611,292.7201665460683,8131.766226649777,28.005,27.777,81.74680004302392,1.079913606911488,4.999999999999985
full,BNB/USDT:USDT,1h,stop_loss,1601567460000,True,27.78,27.76611,292.7201665460683,8131.766226649777,28.005,27.777,81.74680004302392,1.079913606911488,4.999999999999985
