scope,leverage_mode,multiple,segment,month,monthly_return,equity_end,num_exits
1h,combined,5.0,is,2022-08,0.25942376224936226,519084805.8817456,30
1h,combined,5.0,is,2022-09,-0.04404441831861272,496222017.5486541,30
1h,combined,5.0,is,2022-10,0.2974908784456711,643843541.4532864,22
1h,combined,5.0,is,2022-11,2.940905326171501,2537326441.734378,37
1h,combined,5.0,is,2022-12,0.26949190657257205,3221115382.1143756,18
1h,combined,5.0,is,2023-01,1.3690433671264244,7630962030.74696,20
1h,combined,5.0,is,2023-02,-0.07767885453728851,7038197641.180995,13
1h,combined,5.0,is,2023-03,0.7935636732181319,12623455614.151777,30
1h,combined,5.0,is,2023-04,0.8178024927788952,22946949082.88884,21
1h,combined,5.0,is,2023-05,0.16490540658394992,26731025051.26382,7
1h,combined,5.0,is,2023-06,0.4112091787430481,37723067909.55386,25
1h,combined,5.0,is,2023-07,0.08569756897040115,40955843123.50798,13
1h,combined,5.0,is,2023-08,0.20579090502940622,49384183146.13707,16
1h,combined,5.0,is,2023-09,0.27643834213093066,63035864862.54545,33
1h,combined,5.0,is,2023-10,0.7337358830856642,109287540833.53383,21
1h,combined,5.0,is,2023-11,0.19383857209777333,130471681696.78311,24
1h,combined,5.0,is,2023-12,0.4696941596228623,191753468585.93524,8
1h,combined,5.0,is,2024-01,0.03371663426482896,198218750155.25958,15
1h,combined,5.0,is,2024-02,0.3076834978997849,259207388552.3534,15
1h,combined,5.0,is,2024-03,0.5915919403676768,412552390503.67847,19
1h,combined,5.0,is,2024-04,1.3394692462367161,965153630044.796,37
1h,combined,5.0,is,2024-05,1.4123664914449892,2328304276216.5596,33
