scope,arm,fill,segment,exclude_symbol,num_cells,num_symbols,num_trades,win_rate,total_return,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,liquidation_events
4h,long_only,baseline,oos,ETH,8,8,208,0.5432692307692307,0.7249939545726222,0.064729349640774,11.200389909617405,4,0.0401072341128049,0
4h,long_only,baseline,full,SOL,8,8,578,0.6038062283737025,9.7781181827476,0.079002560980608,123.76963558368357,6,0.06,0
4h,long_only,baseline,is,SOL,8,8,362,0.6270718232044199,4.552670566241599,0.079002560980608,57.62687322704761,6,0.06,0
4h,long_only,baseline,oos_warm,SOL,8,8,216,0.5648148148148148,0.9410692664309994,0.0727644192704556,12.933096640724514,4,0.0401109562983323,0
4h,long_only,baseline,oos,SOL,8,8,202,0.5445544554455446,0.7056197312310811,0.0665703070173084,10.599616598547726,4,0.0401109562983323,0
4h,long_only,baseline,full,DOGE,8,8,591,0.5972927241962775,9.816222115634115,0.0844955533753028,116.17442248154198,6,0.06,0
4h,long_only,baseline,is,DOGE,8,8,361,0.6260387811634349,4.50638368978264,0.0844955533753028,53.33279101406309,6,0.06,0
4h,long_only,baseline,oos_warm,DOGE,8,8,230,0.5521739130434783,0.9643059265383432,0.0613512665153213,15.71778353259464,5,0.0453537529472806,0
4h,long_only,baseline,oos,DOGE,8,8,214,0.5327102803738317,0.6827101962482433,0.0687680813115205,9.927719128232692,5,0.0453537529472806,0
4h,long_short,baseline,full,,9,9,1194,0.5527638190954773,28.813145517142292,0.1087714091729101,264.8963154585875,7,0.07,0
4h,long_short,baseline,is,,9,9,756,0.5727513227513228,11.826070862702815,0.1087714091729101,108.7240751280819,7,0.07,0
4h,long_short,baseline,oos_warm,,9,9,438,0.5182648401826484,1.3244719139595071,0.1053012798529122,12.577927977794443,5,0.0491678799626993,0
4h,long_short,baseline,oos,,9,9,385,0.4961038961038961,0.6874684071964643,0.0957252682375709,7.18168170070107,5,0.0453537529472806,0
